Status,Sequence_ID,2,3,4,functional_category,Mean_pLDDT,PDB_Structure
U,A0AAD7UP56,0,627,0:12|1:15,Hypothetical Protein,85.4,A0A0N1JJM0.pdb
U,A0A6C2YQT0,0,642,0:12|1:15,Hypothetical Protein,87.8,A0A0R7N6H7.pdb
U,A0AAD7XIE7,0,1062,0:12|1:15,Enzyme (Auxiliary),77.61,A0A0R7N6I2.pdb
U,A0ABD6GMS2,0,708,0:12|1:15,Enzyme (Auxiliary),72.03,A0A0U3SZY2.pdb
U,D8P925,0,1401,0:12|1:15,Unknown Domain,82.68,A0A0U3USV9.pdb
U,A0AAD7UME7,0,3123,0:12|1:15,Hypothetical Protein,88.23,A0A0W8FB26.pdb
U,A0A232LMS7,0,2394,0:12|1:15,Hypothetical Protein,90.12,A0A232LMS6.pdb
U,A0A6P2DGC4,0,414,0:12|1:15,Unknown Domain,91.33,A0A232LMS7.pdb
U,A0A328P9H9,0,1668,0:12|1:15,Unknown Domain,84.26,A0A232LNR6.pdb
U,A0AAD7UCF1,0,2088,0:12|1:15,Unknown Domain,79.83,A0A232LP74.pdb
U,A0A328P562,0,1203,0:12|1:15,Enzyme (Auxiliary),81.53,A0A232LQ12.pdb
U,A0AAD7UH80,0,1200,0:12|1:15,Unknown Domain,84.17,A0A232LQT7.pdb
U,D8PAD4,0,606,0:12|1:15,Regulatory,78.09,A0A232LRG8.pdb
U,D8PC92,0,924,0:12|1:15,Hypothetical Protein,81.79,A0A232LSQ8.pdb
U,D8PCL2,0,1023,0:12|1:15,Enzyme (Auxiliary),90.97,A0A232LT08.pdb
U,A0A328P3A3,0,1470,0:12|1:15,Enzyme (Auxiliary),71.56,A0A232LUB4.pdb
U,A0A9X9ZA85,0,1155,0:12|1:15,Hypothetical Protein,70.39,A0A232LUF8.pdb
U,D8PBD9,0,939,0:12|1:15,Hypothetical Protein,87.57,A0A232LUQ4.pdb
U,A0A0R7N6I2,0,1725,0:12|1:15,Transporter,88.09,A0A232LUY5.pdb
U,B3U4I3,0,1428,0:12|1:15,Unknown Domain,92.08,A0A232LV77.pdb
U,D8PAX8,0,369,0:12|1:15,Transporter,73.48,A0A232LWB4.pdb
U,A0A6C2YLV2,0,2181,0:12|1:15,Hypothetical Protein,73.95,A0A232LWD9.pdb
U,A0AAD7XQ79,0,1446,0:12|1:15,Hypothetical Protein,77.87,A0A232LWR6.pdb
U,A0A6C2YGR8,0,1071,0:12|1:15,Regulatory,73.26,A0A232LWR7.pdb
U,A0AAD7U9H1,0,780,0:12|1:15,Transporter,78.49,A0A232LWT8.pdb
U,A0AAD7UE26,0,3009,0:12|1:15,Enzyme (Auxiliary),77.28,A0A232LWX8.pdb
U,A0ABF7PQ69,0,1362,0:12|1:15,Hypothetical Protein,91.45,A0A232LX52.pdb
U,A0A644U616,0,1119,0:12|1:15,Enzyme (Auxiliary),91.79,A0A232LXP0.pdb
U,D8P9V8,0,525,0:12|1:15,Hypothetical Protein,76.06,A0A232LYV0.pdb
U,A0AAD7XLB1,0,3273,0:12|1:15,Enzyme (Auxiliary),73.15,A0A232LYZ2.pdb
U,A0AAD7UMA4,0,1815,0:12|1:15,Regulatory,71.88,A0A232LZ52.pdb
U,D8P7R5,0,228,0:12|1:15,Transporter,70.29,A0A232M066.pdb
U,D8P9Y4,0,1323,0:12|1:15,Transporter,72.16,A0A232M109.pdb
U,D8PCY0,0,999,0:12|1:15,Unknown Domain,94.19,A0A232M167.pdb
U,A0AAD7U731,0,1104,0:12|1:15,Enzyme (Auxiliary),85.35,A0A232M3F5.pdb
U,A0AAD7UQE0,0,2352,0:12|1:15,Unknown Domain,71.45,A0A232M3L8.pdb
U,A0A232LRG8,0,1920,0:12|1:15,Enzyme (Auxiliary),78.39,A0A232M3Q2.pdb
U,A0A644TED6,0,1125,0:12|1:15,Enzyme (Auxiliary),72.73,A0A232M3R9.pdb
U,A0AAD7U7E8,0,1908,0:12|1:15,Regulatory,91.59,A0A232M537.pdb
U,A0AAD7UAL2,0,687,0:12|1:15,Transporter,88.91,A0A232M6L7.pdb
U,A0AAD7UJK6,0,777,0:12|1:15,Enzyme (Auxiliary),89.49,A0A2D6YMW2.pdb
U,D8PI91,0,1155,0:12|1:15,Transporter,82.12,A0A328NXL7.pdb
U,A0AAD7UG73,0,2079,0:12|1:15,Regulatory,79.37,A0A328NZ36.pdb
U,A0AAD7UIL4,0,3144,0:12|1:15,Transporter,87.65,A0A328P1K6.pdb
U,D8PFX7,0,1452,0:12|1:15,Hypothetical Protein,70.27,A0A328P1U9.pdb
U,A0AAD7XPX2,0,1209,0:12|1:15,Unknown Domain,90.41,A0A328P3A3.pdb
U,A0A6C2YHZ3,0,465,0:12|1:15,Enzyme (Auxiliary),76.71,A0A328P4P8.pdb
U,A0A328P8A5,0,597,0:12|1:15,Regulatory,86.47,A0A328P562.pdb
U,D8PHN3,0,1347,0:12|1:15,Transporter,93.99,A0A328P5U8.pdb
